普通话文本,藤县话文本,IPA,起始时间(音频时间戳)
和他一起干活的很多人都做不下去，都回来了。,同佢一起做工个好多人都做冇落去，都返返来咯。,[toŋ²¹.ky²⁴.iɐt⁵.hi⁴⁴.tu²¹.koŋ⁵².kɔ³³.hou⁴⁴.ɗɔ⁵².ɲiɐn²³¹.ɗu³³.tu²¹.mɑo²⁴.lɔk².hy³³..ɗu³³.fan⁴⁴.fan⁴⁴.lœ²³¹.lɔk³.],[04:38.870]
但是他坚持下来了。,但系佢坚持落来。,[tan²¹.hei²¹.ky²⁴.kin⁵².tʃi²³¹.lɔk².lœ²³¹.],[04:43.307]
后来他就成为了正式的工人，啊，在木场。,后尾佢就成为了正式个工人，啊，在木场。,[hɐu²¹.mi⁴⁴.ky²⁴.tɐu²¹.ʃeŋ²¹.uei²¹.liu²⁴.tʃeŋ³³.ʃek⁵.kɔ³³.koŋ⁵².ɲiɐn²³¹..a²¹..θœ²⁴.mok².tʃiæŋ²³¹.],[04:44.486]
我记得那个时候我们，诶，其他农村人不怎么有米吃的那个时候呢，他是四十五斤米一个月的，属于*种的体力工人。,我记得亚只时候我队，诶，其他农村人冇乜有米吃亚只时候呢，佢是四十五斤米一只月嘅，属于□种个体力工人。,[ŋɔ²⁴.ki³³.ɗɐk⁵.a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ŋɔ²⁴.tøi²¹..a²¹..ki²¹.tʰa⁵².noŋ²¹.tʰun⁵².ɲiɐn²³¹.mɑo²⁴.mɐt⁵.iɐu²⁴.mɐi²⁴.hek⁵.a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³..ky²⁴.ʃi²⁴.θi³³.ʃɐp².ŋ²⁴.kɐn⁵².mɐi²⁴.iɐt⁵.tʃek⁵.ɲiut².kɛ³³..ʃok².y⁵².tøi³³.tʃoŋ⁴⁴.kɔ³³.tʰei⁴⁴.lek².koŋ⁵².ɲiɐn²³¹.],[04:48.137]
啊工资可能不是好高，但是他有劳保。,啊工资可能冇系好高，但系佢有劳保。,[a²¹.koŋ³³.ti⁵².hɔ⁴⁴.nɐŋ²¹.mɑo²⁴.hei²¹.hou⁴⁴.kou⁵²..tan²¹.hei²¹.ky²⁴.iɐu²⁴.lou²¹.ɓou⁴⁴.],[04:59.269]
我记得他村子啊发那些水鞋是到，我们叫做长筒靴，啊到膝盖的那种水靴。,我记得佢村啊发亚啲水鞋是到，我队喊做长筒靴，啊到亚啲膝罗头嘅，亚啲啊，亚啲水靴。,[ŋɔ²⁴.ki³³.ɗɐk⁵.ky²⁴.tʰun⁵².a³³.fat³.a³³.ɗi⁵².ʃøi⁴⁴.hæ²³¹.ʃi²⁴.tou³³..ŋɔ²⁴.tøi²¹.hiæm³³.tu²¹.tʃiæŋ²¹.tʰoŋ⁴⁴.høi⁵²..a²¹.tou³³.a³³.ɗi⁵².θɐt³.lɔ²³¹.tɐu²³¹.kɛ³³..a³³.ɗi⁵².a³³..a³³.ɗi⁵².ʃøi³³.høi⁵².],[05:02.834]
我读高中那个时候呢，那时候中学里头那些路是很烂的，啧。,我读高中亚只时候呢，亚里中学里头亚啲路是好烂嘅，啧。,[ŋɔ²⁴.tok².kou³³.tʃoŋ⁵².a³³.tʃek⁵.ʃi²¹.hɐu²⁴.ni³³..a³³.ly⁴⁴.tʃoŋ⁵².hɔk².ly²⁴.tɐu²³¹.a³³.ɗi⁵².lu²¹.ʃi²⁴.hou⁴⁴.lan²¹.kɛ³³...],[05:11.344]
我班上有一个同学，他的老爸刚好是跟我姐夫同一个单位工作的。,我班上有一个同学，佢个老头啱好是同，我姐夫是同一个单位工作个。,[ŋɔ²⁴.ɓan⁵².ʃiæŋ²¹.iɐu²⁴.iɐt⁵.kɔ³³.toŋ²¹.hɔk²..ky²⁴.kɔ³³.lou²⁴.tɐu²¹.ɲiæm⁵².hou⁴⁴.ʃi²⁴.toŋ²¹..ŋɔ²⁴.tɛ³³.fu⁵².ʃi²⁴.toŋ²¹.iɐt⁵.kɔ³³.ɗan⁵².uei²¹.koŋ⁵².tɔk³.kɔ³³.],[05:17.734]
他就，经常下雨天就就穿个水靴来，啊。,佢就，经常落水天就穿嚿水靴来，啊。,[ky²⁴.tɐu²¹..keŋ⁵².tʃiæŋ²³¹.lɔk².ʃøi⁴⁴.tʰin⁵².tɐu²¹.tʃʰun⁵².kɐu²¹.ʃøi³³.høi⁵².lœ²³¹..a²¹.],[05:25.031]
我就觉得很羡慕。,我就觉得好羡慕。,[ŋɔ²⁴.tɐu²¹.kɔk³.ɗɐk⁵.hou⁴⁴.θin²⁴.mu²¹.],[05:29.669]
*詈词*，我为什么会没有双水靴呢？,屌那妈閪，我点呅会唔会有嚿水靴呢？,[ɗiu²³¹.na²⁴.ma⁵².hæ⁵²..ŋɔ²⁴.ɗim³³.mɐn⁵².uøi³³.ŋ²¹.uøi³³.iɐu²⁴.kɐu²¹.ʃøi³³.høi⁵².ni³³.],[05:31.468]
于是，我就去找我姐夫，（问他）是不是能够给我一双水靴。,噉呅，我就□我姐夫，是冇是能够畀嚿水靴我。,[kom³³.mɐn⁵²..ŋɔ²⁴.tɐu²¹.uɐn⁴⁴.ŋɔ²⁴.tɛ³³.fu⁵²..ʃi²⁴.mɑo²⁴.ʃi²⁴.nɐŋ²¹.kɐu³³.ɓi⁴⁴.kɐu²¹.ʃøi³³.høi⁵².ŋɔ²⁴.],[05:33.803]
